Fecha,SPEI,Zona
1914-10-16,0.68362373,Sevilla
1914-11-16,0.5767115,Sevilla
1914-12-16,0.6670111,Sevilla
1915-01-16,1.0424906,Sevilla
1915-02-15,0.35552448,Sevilla
1915-03-16,1.3901354,Sevilla
1915-04-16,0.44874412,Sevilla
1915-05-16,0.8145635,Sevilla
1915-06-16,0.500048,Sevilla
1915-07-16,0.7949561,Sevilla
1915-08-16,0.446175,Sevilla
1915-09-16,-0.42623845,Sevilla
1915-10-16,-0.48409438,Sevilla
1915-11-16,1.0735121,Sevilla
1915-12-16,-0.100094244,Sevilla
1916-01-16,-1.259791,Sevilla
1916-02-15,0.97279286,Sevilla
1916-03-16,1.8833005,Sevilla
1916-04-16,-0.7522235,Sevilla
1916-05-16,0.30750936,Sevilla
1916-06-16,0.112562925,Sevilla
1916-07-16,1.1476761,Sevilla
1916-08-16,0.9222963,Sevilla
1916-09-16,1.2500068,Sevilla
1916-10-16,-0.99970686,Sevilla
1916-11-16,1.0209912,Sevilla
1916-12-16,1.1713116,Sevilla
1917-01-16,0.9980715,Sevilla
1917-02-15,1.0683844,Sevilla
1917-03-16,1.2447586,Sevilla
1917-04-16,-0.64197433,Sevilla
1917-05-16,0.86859846,Sevilla
1917-06-16,0.86191195,Sevilla
1917-07-16,0.24986528,Sevilla
1917-08-16,1.1437787,Sevilla
1917-09-16,-0.5919537,Sevilla
1917-10-16,-1.0216242,Sevilla
1917-11-16,-1.6245314,Sevilla
1917-12-16,0.1603034,Sevilla
1918-01-16,1.6361463,Sevilla
1918-02-15,-1.0866196,Sevilla
1918-03-16,0.54732645,Sevilla
1918-04-16,1.0196617,Sevilla
1918-05-16,0.14519152,Sevilla
1918-06-16,-0.33528802,Sevilla
1918-07-16,0.8384339,Sevilla
1918-08-16,0.3938403,Sevilla
1918-09-16,0.1797596,Sevilla
1918-10-16,-0.35055107,Sevilla
1918-11-16,0.33454865,Sevilla
1918-12-16,-1.0551933,Sevilla
1919-01-16,0.1628648,Sevilla
1919-02-15,1.2571557,Sevilla
1919-03-16,0.3709931,Sevilla
1919-04-16,0.5433418,Sevilla
