Zona,Fecha,VV_linear,VH_linear,Píxeles_Válidos,VV_dB,VH_dB,VH_VV_Ratio
Valdeorras_Incendio,2022-01-01,0.13886414057676602,0.03559816269968012,202500,-8.574098893255277,-14.485724163524514,-5.911625270269237
Valdeorras_Incendio,2022-01-08,0.13599728090812968,0.02962296909548025,202500,-8.664697747062542,-15.283714145129839,-6.619016398067297
Valdeorras_Incendio,2022-01-15,0.11772110817666614,0.029554892568163574,202500,-9.29145658288823,-15.29370614969756,-6.002249566809329
Valdeorras_Incendio,2022-01-22,0.12337701145309948,0.027534236138248916,202500,-9.087657538290085,-15.601269673230657,-6.513612134940573
Valdeorras_Incendio,2022-01-29,0.12085874787244572,0.029918950732525044,202500,-9.177219094662185,-15.240536413912976,-6.063317319250791
Valdeorras_Incendio,2022-02-05,0.11857217623838032,0.029233613069740004,202500,-9.260172091487203,-15.341175055703877,-6.081002964216674
Valdeorras_Incendio,2022-02-12,0.12664334406600739,0.028336013609446695,202500,-8.974176302821537,-15.476612475675315,-6.502436172853779
Valdeorras_Incendio,2022-02-19,0.12360077028282077,0.031104014451705048,202500,-9.079788227056483,-15.071835549696663,-5.992047322640181
Valdeorras_Incendio,2022-02-26,0.153327785204234,0.036164258709229395,202500,-8.14379137595346,-14.417204325934286,-6.273412949980825
Valdeorras_Incendio,2022-03-05,0.12088010502570429,0.030107181102514258,202500,-9.176451713356093,-15.213299050296836,-6.036847336940744
Valdeorras_Incendio,2022-03-12,0.1432772864715868,0.03153052973554938,202500,-8.438226521839816,-15.012687327315321,-6.574460805475505
Valdeorras_Incendio,2022-03-19,0.12458056904717928,0.03325919985916968,202500,-9.045496897286503,-14.780882031299484,-5.735385134012981
Valdeorras_Incendio,2022-03-26,0.13592035590528095,0.03396833226740076,202500,-8.667154969443578,-14.68925775027084,-6.022102780827263
Valdeorras_Incendio,2022-04-02,0.1216802599967308,0.028506564647380994,202500,-9.147798709880554,-15.450551167691312,-6.302752457810758
Valdeorras_Incendio,2022-04-09,0.13972859488467013,0.03479277764407883,202500,-8.547147082034392,-14.585108984342911,-6.037961902308519
Valdeorras_Incendio,2022-04-16,0.12200570972081597,0.0267452957127079,202500,-9.13619844389029,-15.727525959111484,-6.591327515221193
Valdeorras_Incendio,2022-04-23,0.12938251880888818,0.031648784920088574,202500,-8.881243983017834,-14.996429590314733,-6.115185607296899
Valdeorras_Incendio,2022-04-30,0.13704376309185337,0.03623029064167672,202500,-8.63140724563937,-14.409281820137625,-5.777874574498256
Valdeorras_Incendio,2022-05-07,0.14218638158822056,0.035248193386153086,202500,-8.471419977294282,-14.528631374677978,-6.057211397383696
Valdeorras_Incendio,2022-05-14,0.13188198776132512,0.03330213410835827,202500,-8.798145156745544,-14.775279346082154,-5.97713418933661
Valdeorras_Incendio,2022-05-21,0.13832470431371222,0.03276714295393716,202500,-8.591002494713766,-14.845614241480547,-6.2546117467667806
Valdeorras_Incendio,2022-05-28,0.1289223390694415,0.032679363332111994,202500,-8.89671823577514,-14.857264130956803,-5.960545895181664
Valdeorras_Incendio,2022-06-04,0.13331702220012892,0.03314122559891818,202500,-8.751143954052608,-14.796314349328231,-6.045170395275623
